name,field_1,field_2,field_3,field_4,field_5,field_6,field_7,y1,y2,y3,y4,y5,y6
,,1 year ago,2 years ago,3 years ago,5 years ago,7 years ago,10 years ago,1 year ago,2 years ago,3 years ago,5 years ago,7 years ago,10 years ago
,,18-Mar,17-Mar,16-Mar,14-Mar,12-Mar,9-Mar,,,,,,
Sales Activity ,100,-13,-9.9,-10.7,22,-4.8,11.1,,,,,,
Average Price ,"$244,565 ",31.8,23,61.2,46.4,93.5,89.5,  ,  ,  ,  ,  , 
Dollar Volume* ,$24.50 ,14.6,10.8,43.9,78.5,84.3,110.5,  ,  ,  ,  ,  , 
New Listings ,150,18.1,7.1,-12.8,-18.5,-37.5,-26.8,  ,  ,  ,  ,  , 
Active Listings ,199,2.6,-16.4,-56.5,-64.8,-69.9,-71.9,  ,  ,  ,  ,  , 
