name,field_1,field_2,field_3,field_4,field_5,field_6,field_7,y1,y2,y3,y4,y5,y6
,,1 year ago,2 years ago,3 years ago,5 years ago,7 years ago,10 years ago,1 year ago,2 years ago,3 years ago,5 years ago,7 years ago,10 years ago
,,Mar 2018 YTD,Mar 2017 YTD,Mar 2016 YTD,Mar 2014 YTD,Mar 2012 YTD,Mar 2009 YTD,,,,,,
Sales Activity ,239,0.8,-10.5,-7,21.3,-3.6,35,Mar 2018 YTD ,Mar 2017 YTD ,Mar 2016 YTD ,Mar 2014 YTD ,Mar 2012 YTD ,Mar 2009 YTD
Average Price ,"$238,332 ",31.7,30.1,57.9,58.3,74.4,96.8,  ,  ,  ,  ,  , 
Dollar Volume* ,$57.00 ,32.8,16.5,46.8,92,68.1,165.7,  ,  ,  ,  ,  , 
New Listings ,347,8.1,4.2,-26.5,-25.1,-41,-37.7,  ,  ,  ,  ,  , 
Active Listings** ,186,-7.3,-22.7,-58.3,-64,-69.8,-72.5,  ,  ,  ,  ,  , 
